date,open,high,low,close,volume,change_pct
2025-01-02,2400.87,2410.99,2386.84,2398.94,350691927,-0.02
2025-01-03,2402.58,2454.67,2402.58,2441.92,407536387,1.79
2025-01-06,2453.3,2489.1,2446.82,2488.64,302760981,1.91
2025-01-07,2513.49,2521.86,2492.09,2492.1,407692929,0.14
2025-01-08,2481.25,2526.77,2481.25,2521.05,362908922,1.16
2025-01-09,2526.1,2535.87,2515.82,2521.9,404290371,0.03
2025-01-10,2528.42,2535.24,2506.29,2515.78,377586658,-0.24
2025-01-13,2508.15,2513.93,2483.73,2489.56,578565446,-1.04
2025-01-14,2501.49,2504.89,2482.74,2497.4,414487640,0.31
2025-01-15,2511.07,2524.36,2493.1,2496.81,538534310,-0.02
2025-01-16,2528.27,2534.01,2519.86,2527.49,451062578,1.23
2025-01-17,2520.85,2528.48,2513.84,2523.55,445884915,-0.16
2025-01-20,2533.68,2536.72,2516.28,2520.05,437546001,-0.14
2025-01-21,2533.23,2548.44,2507.95,2518.03,572011300,-0.08
2025-01-22,2535.8,2552.57,2526.89,2547.06,583737394,1.15
2025-01-23,2541.24,2541.6,2515.49,2515.49,609742131,-1.24
2025-01-24,2529.29,2542.83,2522.64,2536.8,602014660,0.85
2025-01-31,2534.33,2537.98,2496.95,2517.37,454403356,-0.77
2025-02-03,2468.74,2468.74,2437.61,2453.95,522848036,-2.52
2025-02-04,2481.44,2508.35,2471.63,2481.69,479377343,1.13
2025-02-05,2503.94,2514.71,2498.74,2509.27,437344153,1.11
2025-02-06,2521.82,2536.75,2515.34,2536.75,479697230,1.1
2025-02-07,2532.09,2537.63,2519.01,2521.92,419872051,-0.58
2025-02-10,2510.64,2527.33,2499.18,2521.27,393563727,-0.03
2025-02-11,2532.87,2549.44,2527.74,2539.05,451092989,0.71
2025-02-12,2534.71,2549.58,2528.74,2548.39,464894178,0.37
2025-02-13,2558.95,2583.74,2555.98,2583.17,680341736,1.36
2025-02-14,2588.2,2600.57,2582.84,2591.05,499364641,0.31
2025-02-17,2595.99,2612.8,2592.57,2610.42,366339998,0.75
2025-02-18,2613.25,2628.47,2605.15,2626.81,421993118,0.63
2025-02-19,2633.91,2680.7,2633.91,2671.52,525798791,1.7
2025-02-20,2661.72,2667.59,2645.53,2654.06,529303324,-0.65
2025-02-21,2653.76,2656.04,2638.44,2654.58,444704240,0.02
2025-02-24,2636.12,2645.27,2626.88,2645.27,536354114,-0.35
2025-02-25,2617.64,2641.49,2617.12,2630.29,410284831,-0.57
2025-02-26,2629.86,2648.06,2620.16,2641.09,386762622,0.41
2025-02-27,2637.63,2638.47,2610.47,2621.75,513909805,-0.73
2025-02-28,2585.61,2586.78,2531.24,2532.78,588571521,-3.39
2025-03-04,2522.2,2548.78,2513.31,2528.92,484081351,-0.15
2025-03-05,2548.45,2561.47,2535.18,2558.13,569412248,1.16
2025-03-06,2573.55,2583.65,2565.57,2576.16,609615704,0.7
2025-03-07,2553.44,2575.48,2541.49,2563.48,567191412,-0.49
2025-03-10,2555.4,2579.76,2549.99,2570.39,435694828,0.27
2025-03-11,2516.69,2547.88,2505.91,2537.6,399016248,-1.28
2025-03-12,2552.6,2579.69,2541.66,2574.82,401644557,1.47
2025-03-13,2598.06,2600.07,2561.02,2573.64,427292042,-0.05
2025-03-14,2565.18,2576.74,2559.24,2566.36,362329393,-0.28
2025-03-17,2588.32,2610.69,2587.52,2610.69,396573940,1.73
2025-03-18,2627.27,2638.56,2606.91,2612.34,555526574,0.06
2025-03-19,2613.48,2642.83,2613.48,2628.62,653326938,0.62
2025-03-20,2648.16,2650.72,2629.2,2637.1,455019267,0.32
2025-03-21,2633.9,2645.82,2617.78,2643.13,497529180,0.23
2025-03-24,2636.43,2648.82,2629.38,2632.07,372431632,-0.42
2025-03-25,2653.04,2654.63,2612.74,2615.81,439279423,-0.62
2025-03-26,2628.09,2649.15,2618.05,2643.94,507916080,1.08
2025-03-27,2620.28,2633.03,2603.41,2607.15,403313562,-1.39
2025-03-28,2592.63,2592.63,2549.26,2557.98,513561475,-1.89
2025-03-31,2513.44,2514.22,2479.46,2481.12,391592782,-3.0
2025-04-01,2511.24,2530.61,2494.43,2521.39,453393641,1.62
2025-04-02,2525.62,2532.15,2499.83,2505.86,515599740,-0.62
2025-04-03,2437.43,2488.92,2437.43,2486.7,480057159,-0.76
2025-04-04,2450.49,2506.71,2438.02,2465.42,695074881,-0.86
2025-04-07,2359.25,2369.4,2327.01,2328.2,619500714,-5.57
2025-04-08,2381.2,2381.31,2328.94,2334.23,557018146,0.26
2025-04-09,2329.99,2337.58,2284.72,2293.7,699641582,-1.74
2025-04-10,2395.13,2445.06,2391.39,2445.06,670388052,6.6
2025-04-11,2400.74,2433.18,2394.25,2432.72,369702818,-0.5
2025-04-14,2454.28,2465.56,2449.48,2455.89,488618364,0.95
2025-04-15,2464.51,2482.56,2461.23,2477.41,560339502,0.88
2025-04-16,2472.78,2475.83,2442.72,2447.43,613173904,-1.21
2025-04-17,2451.7,2473.24,2447.4,2470.41,601738661,0.94
2025-04-18,2473.3,2486.37,2466.9,2483.42,450985117,0.53
2025-04-21,2486.38,2498.84,2479.23,2488.42,428977098,0.2
2025-04-22,2481.18,2494.59,2476.14,2486.64,416680149,-0.07
2025-04-23,2520.56,2526.72,2507.1,2525.56,538116134,1.57
2025-04-24,2525.34,2530.61,2507.21,2522.33,327935351,-0.13
2025-04-25,2544.59,2553.33,2534.94,2546.3,403527737,0.95
2025-04-28,2551.23,2558.69,2541.97,2548.86,454102177,0.1
2025-04-29,2550.25,2571.41,2542.25,2565.42,547081468,0.65
2025-04-30,2561.04,2570.83,2544.46,2556.61,487488833,-0.34
2025-05-02,2556.52,2567.04,2540.57,2559.79,585492284,0.12
2025-05-07,2577.04,2581.85,2559.17,2573.8,546755132,0.55
2025-05-08,2581.27,2590.9,2575.78,2579.48,471635814,0.22
2025-05-09,2587.93,2589.58,2571.2,2577.27,485550305,-0.09
2025-05-12,2593.94,2607.33,2585.6,2607.33,409749435,1.17
2025-05-13,2601.76,2620.64,2601.58,2608.42,422459803,0.04
2025-05-14,2625.36,2646.01,2619.15,2640.57,390503815,1.23
2025-05-15,2634.5,2643.83,2618.08,2621.36,339578793,-0.73
2025-05-16,2630.64,2633.98,2619.1,2626.87,359706542,0.21
2025-05-19,2613.7,2619.43,2593.44,2603.42,313296021,-0.89
2025-05-20,2622.68,2622.91,2598.1,2601.8,456989355,-0.06
2025-05-21,2615.9,2633.41,2614.73,2625.58,371527419,0.91
2025-05-22,2614.66,2616.53,2588.09,2593.67,358064259,-1.22
2025-05-23,2603.57,2604.14,2589.51,2592.09,434024136,-0.06
2025-05-26,2598.45,2644.4,2595.96,2644.4,380173138,2.02
2025-05-27,2630.29,2642.63,2625.66,2637.22,318285651,-0.27
2025-05-28,2648.86,2692.47,2643.5,2670.15,405473857,1.25
2025-05-29,2691.06,2720.64,2686.64,2720.64,448340888,1.89
2025-05-30,2713.24,2717.54,2689.87,2697.67,525661026,-0.84
2025-06-02,2692.91,2719.87,2685.14,2698.97,323603809,0.05
2025-06-04,2737.92,2771.03,2734.02,2770.84,489937474,2.66
2025-06-05,2790.33,2831.11,2787.76,2812.05,556013446,1.49
2025-06-09,2841.56,2867.27,2841.39,2855.77,537617180,1.55
2025-06-10,2872.62,2885.67,2849.67,2871.85,508184663,0.56
2025-06-11,2887.32,2908.16,2879.92,2907.04,393929540,1.23
2025-06-12,2909.99,2934.31,2909.99,2920.03,713705710,0.45
2025-06-13,2930.57,2932.38,2877.07,2894.62,931657602,-0.87
2025-06-16,2903.5,2947.07,2886.13,2946.66,726351750,1.8
2025-06-17,2959.93,2998.62,2925.79,2950.3,939594106,0.12
2025-06-18,2933.63,2979.32,2933.63,2972.19,576548034,0.74
2025-06-19,2989.56,2996.04,2954.47,2977.74,433310535,0.19
2025-06-20,2986.52,3022.06,2972.37,3021.84,484864681,1.48
2025-06-23,2992.2,3019.81,2971.36,3014.47,625650915,-0.24
2025-06-24,3061.14,3105.04,3061.14,3103.64,579200567,2.96
2025-06-25,3127.79,3129.09,3084.86,3108.25,644761399,0.15
2025-06-26,3108.34,3113.03,3036.55,3079.56,460611798,-0.92
2025-06-27,3077.87,3093.56,3041.85,3055.94,381633939,-0.77
