일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2026/07/09","791.63","6.63","0.84","792.99","819.69","778.17","423494812","5487768.0","4.45505255E8"
"2026/07/08","785.00","-46.23","-5.56","816.39","823.33","778.70","571917889","6143612.0","4.41594541E8"
"2026/07/07","831.23","-15.84","-1.87","843.74","866.59","812.70","543545333","6331309.0","4.67722454E8"
"2026/07/06","847.07","-21.34","-2.46","866.40","872.12","825.73","535134704","6156801.0","4.75918886E8"
"2026/07/03","868.41","1.69","0.19","875.18","875.39","823.98","601113167","6885163.0","4.8769071E8"
"2026/07/02","866.72","-62.63","-6.74","904.53","904.53","863.74","560643849","7983778.0","4.86460698E8"
"2026/07/01","929.35","13.17","1.44","924.09","955.45","905.87","601211887","1.1812176E7","5.21332068E8"
"2026/06/30","916.18","-4.39","-0.48","925.21","935.27","910.30","661150809","7952797.0","5.13943553E8"
"2026/06/29","920.57","69.20","8.13","860.40","923.11","859.33","576404248","8136267.0","5.16703215E8"
"2026/06/26","851.37","-36.44","-4.10","884.43","887.43","838.53","728780416","8246627.0","4.78774208E8"
"2026/06/25","887.81","-21.50","-2.36","923.66","930.81","884.05","639124598","7059385.0","4.99303994E8"
"2026/06/24","909.31","17.79","2.00","905.13","922.12","886.17","643383300","7048945.0","5.11244137E8"
"2026/06/23","891.52","-76.88","-7.94","958.64","971.69","891.52","797431660","8655458.0","5.0094142E8"
"2026/06/22","968.40","1.81","0.19","957.49","979.58","944.31","631818653","9122314.0","5.4380333E8"
"2026/06/19","966.59","-34.34","-3.43","1001.40","1001.40","946.15","882518817","1.0704632E7","5.42797684E8"
"2026/06/18","1000.93","-31.03","-3.01","1029.81","1031.54","996.93","611802920","9112387.0","5.62073134E8"
"2026/06/17","1031.96","13.28","1.30","1019.88","1039.55","1008.57","570785870","9737346.0","5.79751523E8"
"2026/06/16","1018.68","-15.35","-1.48","1039.00","1040.86","1015.73","621165407","9024603.0","5.71697924E8"
"2026/06/15","1034.03","4.98","0.48","1048.19","1054.32","1025.42","561328600","1.1502251E7","5.80103103E8"
"2026/06/12","1029.05","32.12","3.22","1027.05","1049.70","1021.49","644914560","1.6712155E7","5.75906851E8"
"2026/06/11","996.93","45.30","4.76","937.17","997.11","921.08","635319025","1.3705634E7","5.57952513E8"
