일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2026/07/09","7271.26","24.47","0.34","7486.64","7543.86","7063.76","530549066","3.1359485E7","5.949089311E9"
"2026/07/08","7246.79","-409.52","-5.35","7452.48","7791.66","7186.21","501070972","4.2465431E7","5.931056231E9"
"2026/07/07","7656.31","-395.02","-4.91","7919.20","7954.55","7389.22","516365835","4.0717403E7","6.266412201E9"
"2026/07/06","8051.33","-37.01","-0.46","8186.82","8327.26","7815.53","448691380","3.2002818E7","6.591595226E9"
"2026/07/03","8088.34","440.25","5.76","7739.75","8136.28","7378.10","465820788","4.5492055E7","6.617011063E9"
"2026/07/02","7648.09","-655.32","-7.89","7933.10","8136.28","7616.33","505157279","4.9900911E7","6.251410554E9"
"2026/07/01","8303.41","-173.07","-2.04","8591.50","8620.15","8143.33","468193407","3.9998686E7","6.785431956E9"
"2026/06/30","8476.48","81.83","0.97","8416.70","8667.73","8220.80","449823583","4.2099366E7","6.929540848E9"
"2026/06/29","8394.65","-16.56","-0.20","8334.28","8525.53","8127.99","371222766","4.2684474E7","6.864567783E9"
"2026/06/26","8411.21","-519.09","-5.81","8813.18","8861.70","8126.84","518472966","5.3997506E7","6.885382218E9"
"2026/06/25","8930.30","459.28","5.42","8703.42","9044.04","8693.62","456880223","5.197368E7","7.310414589E9"
"2026/06/24","8471.02","267.18","3.26","8356.79","8577.52","8080.99","418169043","5.5499071E7","6.927816046E9"
"2026/06/23","8203.84","-910.71","-9.99","9083.54","9175.45","8203.84","488741799","6.1428586E7","6.70683547E9"
"2026/06/22","9114.55","62.13","0.69","8954.43","9253.00","8900.68","381081263","4.190952E7","7.449592793E9"
"2026/06/19","9052.42","-11.42","-0.13","9288.89","9385.59","8831.72","517247568","6.725517E7","7.398874683E9"
"2026/06/18","9063.84","199.60","2.25","8884.92","9106.07","8867.34","510940125","5.0780257E7","7.413247265E9"
"2026/06/17","8864.24","137.64","1.58","8622.13","8872.18","8605.66","571194217","3.5846048E7","7.253100054E9"
"2026/06/16","8726.60","180.62","2.11","8696.55","8753.82","8540.41","586336867","4.0568508E7","7.142513389E9"
"2026/06/15","8545.98","422.36","5.20","8526.12","8603.48","8450.24","516647764","3.9992232E7","6.992867782E9"
"2026/06/12","8123.62","359.67","4.63","8263.85","8434.40","8079.77","493405620","5.2257644E7","6.64927103E9"
"2026/06/11","7763.95","33.13","0.43","7509.62","7800.62","7394.46","478729575","4.6400773E7","6.352556164E9"
"2026/06/10","7730.82","-366.11","-4.52","7899.77","7996.68","7541.11","460876834","3.9944843E7","6.324686063E9"
"2026/06/09","8096.93","612.52","8.18","7697.76","8119.09","7598.87","448536749","4.6715419E7","6.625921097E9"
"2026/06/08","7484.41","-676.18","-8.29","8048.09","8048.09","7442.73","452204169","4.8338891E7","6.132411531E9"
"2026/06/05","8160.59","-478.82","-5.54","8323.20","8382.16","8038.10","463197407","4.8519528E7","6.68555913E9"
"2026/06/04","8639.41","-162.08","-1.84","8623.82","8759.05","8577.30","437895857","4.7638553E7","7.07375155E9"
"2026/06/02","8801.49","13.11","0.15","8883.19","8933.62","8503.12","632553467","6.9109666E7","7.21530073E9"
"2026/06/01","8788.38","312.23","3.68","8485.67","8874.16","8485.67","636175294","7.4330045E7","7.204509361E9"
"2026/05/29","8476.15","290.86","3.55","8384.31","8476.15","8273.74","735126775","8.0332511E7","6.933143272E9"
"2026/05/28","8185.29","-43.41","-0.53","8165.73","8253.60","7841.01","668950905","5.3241794E7","6.691609257E9"
"2026/05/27","8228.70","181.19","2.25","8242.12","8457.09","8220.04","619450559","5.6832099E7","6.727882017E9"
"2026/05/26","8047.51","199.80","2.55","8070.91","8131.15","8008.19","519551123","4.0802699E7","6.580529391E9"
"2026/05/22","7847.71","32.12","0.41","7873.12","7886.64","7780.13","435533126","3.1229425E7","6.421467816E9"
"2026/05/21","7815.59","606.64","8.42","7486.37","7819.23","7486.37","621081744","4.3187054E7","6.396239934E9"
"2026/05/20","7208.95","-62.71","-0.86","7324.52","7324.52","7053.84","492494076","4.0401033E7","5.903882554E9"
"2026/05/19","7271.66","-244.38","-3.25","7425.66","7446.57","7141.91","533508766","3.796099E7","5.956875323E9"
"2026/05/18","7516.04","22.86","0.31","7443.29","7636.20","7142.71","566617521","4.4609164E7","6.156484428E9"
"2026/05/15","7493.18","-488.23","-6.12","7951.75","8046.78","7371.68","885626697","5.9548489E7","6.134715796E9"
"2026/05/14","7981.41","137.40","1.75","7873.91","7991.04","7842.72","849941546","5.1696927E7","6.536711923E9"
"2026/05/13","7844.01","200.86","2.63","7513.65","7855.47","7402.36","738739332","5.0464007E7","6.423360481E9"
"2026/05/12","7643.15","-179.09","-2.29","7953.41","7999.67","7421.71","1021136121","6.711456E7","6.261455441E9"
"2026/05/11","7822.24","324.24","4.32","7775.31","7899.32","7713.49","731278789","5.1843449E7","6.410880165E9"
"2026/05/08","7498.00","7.95","0.11","7353.94","7511.01","7318.96","523090848","4.0792656E7","6.143249543E9"
"2026/05/07","7490.05","105.49","1.43","7499.07","7531.88","7257.89","767462258","5.1112463E7","6.138256451E9"
"2026/05/06","7384.56","447.57","6.45","7093.01","7426.60","7093.01","995691665","6.0000375E7","6.057599952E9"
"2026/05/04","6936.99","338.12","5.12","6782.93","6937.00","6741.63","873008689","4.2696033E7","5.685804113E9"
"2026/04/30","6598.87","-92.03","-1.38","6739.39","6750.27","6597.83","685459295","3.5808594E7","5.407467825E9"
"2026/04/29","6690.90","49.88","0.75","6619.00","6702.38","6596.03","717859460","3.1453311E7","5.485580895E9"
"2026/04/28","6641.02","25.99","0.39","6646.80","6712.73","6621.73","1139472198","3.7622679E7","5.443059491E9"
"2026/04/27","6615.03","139.40","2.15","6533.60","6657.22","6529.19","842664190","3.3410305E7","5.421554159E9"
"2026/04/24","6475.63","-0.18","0.00","6496.10","6516.54","6403.74","878200671","3.0202933E7","5.305337787E9"
"2026/04/23","6475.81","57.88","0.90","6488.83","6557.76","6309.10","1042392099","4.0604235E7","5.308398011E9"
"2026/04/22","6417.93","29.46","0.46","6387.57","6423.29","6318.51","900140335","3.1029075E7","5.260014101E9"
"2026/04/21","6388.47","169.38","2.72","6302.54","6388.47","6302.54","792021737","3.1105972E7","5.23620701E9"
"2026/04/20","6219.09","27.17","0.44","6213.92","6278.36","6176.75","692878455","2.3576476E7","5.097490312E9"
"2026/04/17","6191.92","-34.13","-0.55","6227.33","6230.32","6159.88","689739734","2.4619562E7","5.076379138E9"
"2026/04/16","6226.05","134.66","2.21","6149.49","6231.03","6126.06","925694636","2.7046823E7","5.10602084E9"
"2026/04/15","6091.39","123.64","2.07","6141.60","6183.21","6064.23","923846153","3.1615609E7","4.995512345E9"
"2026/04/14","5967.75","159.13","2.74","5960.00","6026.52","5938.33","889490621","2.7128584E7","4.894528507E9"
"2026/04/13","5808.62","-50.25","-0.86","5737.28","5827.73","5730.23","1083211365","2.1456576E7","4.781539435E9"
"2026/04/10","5858.87","80.86","1.40","5876.12","5918.59","5850.83","1002353584","2.3746055E7","4.825746498E9"
"2026/04/09","5778.01","-94.33","-1.61","5826.45","5862.41","5757.49","1026732958","3.3473404E7","4.759726732E9"
"2026/04/08","5872.34","377.56","6.87","5804.70","5919.60","5774.00","932610471","3.6306961E7","4.836941534E9"
"2026/04/07","5494.78","44.45","0.82","5552.19","5594.90","5424.46","990449091","2.3719394E7","4.526464918E9"
"2026/04/06","5450.33","73.03","1.36","5423.35","5505.61","5404.91","1110507448","2.1761182E7","4.489659931E9"
"2026/04/03","5377.30","143.25","2.74","5375.50","5419.45","5316.42","1185178392","2.2234607E7","4.427756587E9"
"2026/04/02","5234.05","-244.65","-4.47","5551.69","5574.62","5170.27","1428159621","3.3290078E7","4.308380471E9"
"2026/04/01","5478.70","426.24","8.44","5330.04","5512.33","5272.45","958953275","2.8902428E7","4.512166156E9"
"2026/03/31","5052.46","-224.84","-4.26","5143.75","5233.99","5042.99","1163312408","2.9837663E7","4.159085895E9"
"2026/03/30","5277.30","-161.57","-2.97","5181.80","5297.35","5151.22","727391077","2.082749E7","4.347926049E9"
"2026/03/27","5438.87","-21.59","-0.40","5300.61","5462.51","5220.10","900080937","2.3659342E7","4.482729458E9"
"2026/03/26","5460.46","-181.75","-3.22","5594.06","5598.37","5448.12","925092573","2.5615327E7","4.499612828E9"
"2026/03/25","5642.21","88.29","1.59","5680.33","5740.97","5630.07","763223598","2.4642072E7","4.651600138E9"
