번호,종목코드,종목명,시장구분,최초지정일,지정사유,상장일,업종,액면가,상장주식수
"1","368970","오에스피","KOSDAQ","2026/07/10","시가총액 미달","2022/10/14","음식료·담배","1000","7283547"
"2","025870","신라에스지","KOSDAQ","2026/07/09","시가총액 미달","1995/07/07","유통","500","4000000"
"3","225430","케이엠제약","KOSDAQ","2026/07/09","시가총액 미달","2015/10/08","화학","500","5577410"
"4","008290","원풍물산","KOSDAQ","2026/07/03","시가총액 미달","1997/07/18","섬유·의류","1000","20346839"
"5","032685","소프트센우","KOSDAQ","2026/07/01","종류주식의 거래량 요건 미달,종류주식의 상장주식수 요건 미달","2002/04/16","IT 서비스","1000","71362"
"6","001770","SHD","KOSPI","2026/06/26","시가총액 미달","1988/11/23","금속","5000","1214878"
"7","069920","엑시온그룹","KOSDAQ","2026/06/26","시가총액 미달","2007/12/05","유통","500","9296521"
"8","073190","듀오백","KOSDAQ","2026/06/18","시가총액 미달","2004/02/06","기타제조","500","11968040"
"9","469880","하나30호스팩","KOSDAQ","2026/06/18","SPAC 상장예비심사청구서 미제출 등","2023/12/22","금융","100","7305000"
"10","036420","콘텐트리중앙","KOSPI","2026/06/16","회생절차개시신청","2019/10/18","오락·문화","5000","19262308"
"11","467930","IBKS제23호스팩","KOSDAQ","2026/06/15","SPAC 상장예비심사청구서 미제출 등","2023/12/22","금융","100","4230000"
"12","121850","코이즈","KOSDAQ","2026/06/05","시가총액 미달","2012/09/27","화학","500","5056999"
"13","348950","제이알글로벌리츠","KOSPI","2026/04/28","반기검토의견 의견거절,회생절차개시신청","2020/08/07","부동산","1000","197376000"
"14","106080","케이이엠텍","KOSDAQ","2026/04/20","상장폐지사유 발생","2010/02/09","전기·전자","500","5761817"
"15","032960","동일기연","KOSDAQ","2026/04/16","주식분산기준미달","1997/07/18","전기·전자","500","3518595"
"16","024830","세원물산","KOSDAQ","2026/04/16","주식분산기준미달","1994/12/29","운송장비·부품","500","8350000"
"17","340930","성원에너텍","KOSDAQ","2026/04/13","회생절차 개시신청,상장폐지사유 발생","2021/02/25","기계·장비","500","68875785"
"18","017040","광명전기","KOSPI","2026/04/08","상장폐지 사유의 발생","1990/09/14","전기·전자","500","43337615"
"19","393970","대진첨단소재","KOSDAQ","2026/04/08","상장폐지사유 발생,상장적격성 실질심사 대상 결정","2025/03/06","화학","500","17850820"
"20","276040","스코넥","KOSDAQ","2026/04/08","파산신청,상장폐지사유 발생","2022/02/04","IT 서비스","500","21630335"
"21","043100","알파AI","KOSDAQ","2026/04/08","회생절차 개시신청,상장폐지사유 발생","2000/08/08","의료·정밀기기","500","20110080"
"22","011000","진원생명과학","KOSPI","2026/04/08","자본잠식(자본금의 50/100이상 잠식)","1987/11/16","제약","1000","90882907"
"23","309710","아이티켐","KOSDAQ","2026/04/07","상장폐지사유 발생","2025/08/07","제약","500","12783001"
"24","001840","이화공영","KOSDAQ","2026/04/02","상장적격성 실질심사 대상 결정,상장폐지사유 발생","1994/11/23","건설","500","28256809"
"25","313760","캐리","KOSDAQ","2026/04/01","상장폐지사유 발생","2019/07/25","전기·전자","500","11207186"
"26","064090","인크레더블버즈","KOSDAQ","2026/03/27","상장적격성 실질심사 대상 결정,상장폐지사유 발생","2002/12/17","유통","500","49742745"
"27","246720","아스타","KOSDAQ","2026/03/25","상장폐지사유 발생","2017/03/20","제약","500","16381300"
"28","068240","다원시스","KOSDAQ","2026/03/24","회생절차 개시신청,상장적격성 실질심사 대상 결정,상장폐지사유 발생","2010/09/14","전기·전자","500","38163437"
"29","069460","대호에이엘","KOSPI","2026/03/24","상장폐지 사유의 발생","2002/11/11","금속","2500","17414390"
"30","214610","롤링스톤","KOSDAQ","2026/03/24","상장폐지사유 발생","2020/10/22","의료·정밀기기","500","8383322"
"31","195990","루트K","KOSDAQ","2026/03/24","자본잠식률 50% 이상","2015/04/13","기계·장비","500","32575748"
"32","183490","엔지켐생명과학","KOSDAQ","2026/03/24","상장폐지사유 발생","2018/02/21","제약","500","84640235"
"33","380540","옵티코어","KOSDAQ","2026/03/24","상장폐지사유 발생","2022/12/29","전기·전자","200","24456583"
"34","008600","윌비스","KOSPI","2026/03/24","상장폐지 사유의 발생","1989/07/28","유통","1000","6723603"
"35","088290","이원컴포텍","KOSDAQ","2026/03/24","자본잠식률 50% 이상","2009/12/01","운송장비·부품","2500","7976072"
"36","079950","인베니아","KOSDAQ","2026/03/24","최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생","2005/02/04","기계·장비","500","13799100"
"37","023440","제이스코홀딩스","KOSDAQ","2026/03/24","상장폐지사유 발생","1994/10/07","금속","500","90142761"
"38","066900","디에이피","KOSDAQ","2026/03/23","최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,자본잠식률 50% 이상","2004/05/14","전기·전자","500","22744503"
"39","294140","레몬","KOSDAQ","2026/03/23","최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생","2020/02/28","화학","500","22414818"
"40","019490","엑시큐어하이트론","KOSPI","2026/03/23","자본잠식(자본금의 50/100이상 잠식)","1998/11/04","전기·전자","500","76432270"
"41","377030","비트맥스","KOSDAQ","2026/03/17","최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생","2021/07/27","IT 서비스","500","10694360"
"42","015020","이스타코","KOSPI","2026/03/17","상장폐지 사유의 발생","1988/12/23","부동산","1000","21425800"
"43","044180","KD","KOSDAQ","2026/03/06","회생절차 개시신청,상장폐지사유 발생","2000/11/16","건설","500","26717799"
"44","263050","유틸렉스","KOSDAQ","2026/02/25","상장폐지사유 발생,상장적격성 실질심사 대상 결정","2018/12/24","제약","500","36834856"
"45","031860","디에이치엑스컴퍼니","KOSDAQ","2026/02/13","상장폐지사유 발생,시가총액 미달","1997/01/07","유통","500","27005423"
"46","011810","STX","KOSPI","2025/12/22","회생절차개시신청,상장폐지 사유의 발생","1990/09/12","유통","2500","31017927"
"47","234920","자이글","KOSDAQ","2025/12/11","상장적격성 실질심사 대상 결정","2016/09/06","전기·전자","500","13530910"
"48","175250","아이큐어","KOSDAQ","2025/09/18","상장적격성 실질심사 대상 결정,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생","2018/07/12","화학","500","37558368"
"49","054180","메디콕스","KOSDAQ","2025/09/03","상장폐지사유 발생,상장적격성 실질심사 대상 결정","2001/10/16","운송장비·부품","500","5527981"
"50","006490","프리티","KOSPI","2025/08/18","자본잠식(자본금의 50/100이상 잠식)","1985/01/17","통신","500","147886116"
"51","066790","씨씨에스","KOSDAQ","2025/08/04","상장적격성 실질심사 대상 결정,상장폐지사유 발생","2003/05/30","오락·문화","500","65152039"
"52","246250","에스엘에스바이오","KOSDAQ","2025/07/22","상장적격성 실질심사 대상 결정,상장폐지사유 발생","2023/10/20","일반서비스","500","15348206"
"53","041590","플래스크","KOSDAQ","2025/05/23","상장적격성 실질심사 대상 결정,상장폐지사유 발생","2002/11/01","건설","500","48972158"
"54","005030","부산주공","KOSPI","2025/05/22","자본잠식(자본금의 50/100이상 잠식)","1975/12/26","운송장비·부품","500","92782988"
"55","016790","현대사료","KOSDAQ","2025/05/16","상장적격성 실질심사 대상 결정,상장폐지사유 발생","2018/06/01","음식료·담배","100","188471729"
"56","066410","버킷스튜디오","KOSDAQ","2025/05/09","상장적격성 실질심사 대상 결정,상장폐지사유 발생","2003/12/19","통신","500","138453818"
"57","065150","대산F&B","KOSDAQ","2025/04/11","상장적격성 실질심사 대상 결정","2007/07/18","유통","1000","15938240"
"58","030350","드래곤플라이","KOSDAQ","2025/04/11","상장적격성 실질심사 대상 결정,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생","1997/11/10","IT 서비스","500","15592079"
"59","043090","더테크놀로지","KOSDAQ","2025/04/08","최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,상장적격성 실질심사 대상 결정,상장폐지사유 발생,매출액 30억원 미달","2001/10/11","유통","500","4139425"
"60","060240","스타코링크","KOSDAQ","2025/04/08","상장적격성 실질심사 대상 결정,상장폐지사유 발생,자본잠식률 50% 이상,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생","2002/01/04","운송장비·부품","500","5821060"
"61","036690","코맥스","KOSDAQ","2025/04/08","최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,상장적격성 실질심사 대상 결정","2000/01/18","전기·전자","500","43567455"
