번호,종목코드,종목명,시장구분,지정일,지정사유,상장일,업종,액면가,상장주식수
"1","035760","CJ ENM","KOSDAQ","2026/07/10","종가급변","1999/11/23","오락·문화","5000","21929154"
"2","418620","E8","KOSDAQ","2026/07/10","소수지점/계좌","2024/02/23","IT 서비스","500","19850477"
"3","218410","RFHIC","KOSDAQ","2026/07/10","소수지점/계좌","2015/06/30","전기·전자","500","26553442"
"4","290660","다이나믹솔루션","KOSDAQ","2026/07/10","소수지점/계좌","2018/11/28","의료·정밀기기","1000","42837888"
"5","224060","더코디","KOSDAQ","2026/07/10","소수지점/계좌","2015/12/29","전기·전자","500","5160722"
"6","263800","데이타솔루션","KOSDAQ","2026/07/10","투자경고 지정예고","2017/08/03","유통","500","16225380"
"7","214680","디알텍","KOSDAQ","2026/07/10","소수지점/계좌","2015/04/20","의료·정밀기기","100","83477056"
"8","081660","미스토홀딩스","KOSPI","2026/07/10","종가급변","2010/09/28","유통","1000","53091840"
"9","452200","민테크","KOSDAQ","2026/07/10","소수지점/계좌","2024/05/03","의료·정밀기기","100","24332800"
"10","008470","부스타","KOSDAQ","2026/07/10","소수지점/계좌","2011/02/23","금속","500","8404800"
"11","148780","비큐AI","KOSDAQ","2026/07/10","소수지점/계좌","2022/06/20","IT 서비스","500","31445725"
"12","223310","사토시홀딩스","KOSDAQ","2026/07/10","소수지점/계좌","2015/12/24","유통","500","5204642"
"13","029780","삼성카드","KOSPI","2026/07/10","종가급변","2007/06/27","기타금융","5000","115858891"
"14","084180","수성웹툰","KOSDAQ","2026/07/10","소수지점/계좌","2005/12/16","기계·장비","5000","18074283"
"15","291650","압타머사이언스","KOSDAQ","2026/07/10","소수지점/계좌","2020/09/16","일반서비스","500","61039242"
"16","291650","압타머사이언스","KOSDAQ","2026/07/10","매매관여과다종목","2020/09/16","일반서비스","500","61039242"
"17","005850","에스엘","KOSPI","2026/07/10","종가급변","1988/11/08","운송장비·부품","500","46448520"
"18","460870","에스엠씨지","KOSDAQ","2026/07/10","종가급변","2025/03/07","비금속","100","20073304"
"19","012750","에스원","KOSPI","2026/07/10","종가급변","1996/01/30","일반서비스","500","37999178"
"20","012750","에스원","KOSPI","2026/07/10","소수지점/계좌","1996/01/30","일반서비스","500","37999178"
"21","050760","에스폴리텍","KOSDAQ","2026/07/10","소수지점/계좌","2002/05/16","화학","500","16334678"
"22","038870","에코심플렉스","KOSDAQ","2026/07/10","투자경고 지정예고","2001/05/29","일반서비스","500","14014949"
"23","038870","에코심플렉스","KOSDAQ","2026/07/10","단일계좌거래량","2001/05/29","일반서비스","500","14014949"
"24","018620","우진비앤지","KOSDAQ","2026/07/10","매매관여과다종목","2008/05/20","제약","2500","6932982"
"25","018620","우진비앤지","KOSDAQ","2026/07/10","소수지점/계좌","2008/05/20","제약","2500","6932982"
"26","043590","웰킵스하이텍","KOSDAQ","2026/07/10","매매관여과다종목","2001/12/20","전기·전자","1000","13568381"
"27","043590","웰킵스하이텍","KOSDAQ","2026/07/10","단일계좌거래량","2001/12/20","전기·전자","1000","13568381"
"28","216400","인바이츠바이오코아","KONEX","2026/07/10","소수지점/계좌","2015/06/29","-","500","7711315"
"29","071200","인피니트헬스케어","KOSDAQ","2026/07/10","소수지점/계좌","2010/05/26","IT 서비스","500","24396458"
"30","030000","제일기획","KOSPI","2026/07/10","종가급변","1998/03/03","일반서비스","200","115041225"
"31","216080","제테마","KOSDAQ","2026/07/10","소수지점/계좌","2019/11/14","제약","500","37287099"
"32","040350","크레오에스지","KOSDAQ","2026/07/10","소수지점/계좌","2002/01/10","IT 서비스","2500","19520532"
"33","214150","클래시스","KOSDAQ","2026/07/10","종가급변","2015/04/03","의료·정밀기기","100","65235659"
"34","217880","틸론","KONEX","2026/07/10","종가급변","2015/05/28","-","500","10727290"
"35","304840","피플바이오","KOSDAQ","2026/07/10","소수지점/계좌","2020/10/19","제약","500","24320660"
"36","291810","핀텔","KOSDAQ","2026/07/10","소수지점/계좌","2022/10/20","IT 서비스","500","11368712"
"37","047810","한국항공우주","KOSPI","2026/07/10","종가급변","2011/06/30","운송장비·부품","5000","97475107"
