번호,종목코드,종목명,시장구분,정지일,정지사유
"1","265690","ACE 러시아MSCI(합성)","KOSPI","2022/03/07","투자유의종목(ETF,ETN)"
"2","099520","DGI","KOSDAQ","2021/03/26","상장폐지 사유발생"
"3","000300","DH오토넥스","KOSPI","2024/02/23","기타공익과투자자보호및시장관리상"
"4","245620","EDGC","KOSDAQ","2024/04/08","투자자 보호"
"5","469480","IBKS제24호스팩","KOSDAQ","2026/06/19","SPAC 합병(예비심사청구대상)"
"6","0099X0","IBKS제25호스팩","KOSDAQ","2026/06/30","SPAC 합병(예비심사청구대상)"
"7","009440","KC그린홀딩스","KOSPI","2025/03/19","감사의견거절(발행ELW, 발행ETN 포함)"
"8","119650","KC코트렐","KOSPI","2025/03/19","기타공익과투자자보호및시장관리상"
"9","044180","KD","KOSDAQ","2026/03/24","상장폐지 사유발생"
"10","058400","KNN","KOSDAQ","2026/07/03","주식의 병합, 분할 등 전자등록 변경, 말소"
"11","000040","KR모터스","KOSPI","2026/07/03","주식의 병합, 분할 등 전자등록 변경, 말소"
"12","011810","STX","KOSPI","2025/07/03","기타공익과투자자보호및시장관리상"
"13","017040","광명전기","KOSPI","2026/04/07","감사의견거절(발행ELW, 발행ETN 포함)"
"14","465320","교보15호스팩","KOSDAQ","2025/09/11","SPAC 합병(예비심사청구대상)"
"15","001570","금양","KOSPI","2025/03/21","감사의견거절(발행ELW, 발행ETN 포함)"
"16","068240","다원시스","KOSDAQ","2026/03/17","상장적격성 실질심사 대상(사유발생)"
"17","145210","다이나믹디자인","KOSPI","2026/03/23","기타공익과투자자보호"
"18","065150","대산F&B","KOSDAQ","2024/04/05","상장적격성 실질심사 대상(사유발생)"
"19","393970","대진첨단소재","KOSDAQ","2026/03/09","상장폐지 사유발생"
"20","069460","대호에이엘","KOSPI","2026/03/23","감사의견거절(발행ELW, 발행ETN 포함)"
"21","012510","더존비즈온","KOSPI","2026/06/26","주식의 병합, 분할 등 전자등록 변경, 말소"
"22","043090","더테크놀로지","KOSDAQ","2025/04/08","투자자 보호"
"23","002210","동성제약","KOSPI","2025/05/07","풍문등관련주가및거래량급변"
"24","001520","동양","KOSPI","2026/07/03","주식의 병합, 분할 등 전자등록 변경, 말소"
"25","001527","동양2우B","KOSPI","2026/07/03","주식의 병합, 분할 등 전자등록 변경, 말소"
"26","001525","동양우","KOSPI","2026/07/03","주식의 병합, 분할 등 전자등록 변경, 말소"
"27","032960","동일기연","KOSDAQ","2026/06/24","주식의 병합, 분할 등 전자등록 변경, 말소"
"28","030350","드래곤플라이","KOSDAQ","2025/03/24","상장적격성 실질심사 대상(사유발생)"
"29","031860","디에이치엑스컴퍼니","KOSDAQ","2026/04/03","상장폐지 사유발생"
"30","196490","디에이테크놀로지","KOSDAQ","2024/04/11","투자자 보호"
"31","113810","디젠스","KOSDAQ","2026/07/03","주식의 병합, 분할 등 전자등록 변경, 말소"
"32","266170","레드우즈","KONEX","2026/03/31","코넥스 주권 상장폐지 사유발생"
"33","214610","롤링스톤","KOSDAQ","2026/03/23","상장폐지 사유발생"
"34","195990","루트K","KOSDAQ","2026/07/10","주식의 병합, 분할 등 전자등록 변경, 말소"
"35","054180","메디콕스","KOSDAQ","2025/07/03","상장폐지 사유발생"
"36","025560","미래산업","KOSPI","2026/07/07","주식의 병합, 분할 등 전자등록 변경, 말소"
"37","482680","미래에셋비전스팩7호","KOSDAQ","2026/05/12","SPAC 합병(예비심사청구대상)"
"38","066410","버킷스튜디오","KOSDAQ","2023/03/03","상장폐지 사유발생"
"39","002410","범양건영","KOSPI","2025/03/20","감사의견거절(발행ELW, 발행ETN 포함)"
"40","005030","부산주공","KOSPI","2023/04/11","기타공익과투자자보호및시장관리상"
"41","121800","비덴트","KOSDAQ","2023/03/31","상장폐지 사유발생"
"42","001470","삼부토건","KOSPI","2025/04/01","감사의견거절(발행ELW, 발행ETN 포함)"
"43","065570","삼영이엔씨","KOSDAQ","2025/02/11","상장폐지 사유발생"
"44","340930","성원에너텍","KOSDAQ","2026/04/01","상장폐지 사유발생"
"45","267080","세븐브로이맥주","KONEX","2025/05/28","코넥스 주권 상장폐지 사유발생"
"46","258830","세종메디칼","KOSDAQ","2024/03/29","투자자 보호"
"47","352770","셀레스트라","KOSDAQ","2025/04/04","투자자 보호"
"48","049180","셀루메드","KOSDAQ","2026/03/17","상장폐지 사유발생"
"49","068940","셀피글로벌","KOSDAQ","2023/03/21","투자자 보호"
"50","007720","소노스퀘어","KOSDAQ","2026/06/17","주식의 병합, 분할 등 전자등록 변경, 말소"
"51","238500","솔루믹스","KONEX","2025/04/04","코넥스 주권 상장폐지 사유발생"
"52","276040","스코넥","KOSDAQ","2026/04/07","파산신청(발행 ELW 포함)"
"53","060240","스타코링크","KOSDAQ","2025/04/08","투자자 보호"
"54","269620","시스웍","KOSDAQ","2022/03/23","투자자 보호"
"55","418250","시큐레터","KOSDAQ","2024/04/05","상장적격성 실질심사 대상(사유발생)"
"56","066790","씨씨에스","KOSDAQ","2025/06/23","상장폐지 사유발생"
"57","246720","아스타","KOSDAQ","2026/03/24","상장폐지 사유발생"
"58","175250","아이큐어","KOSDAQ","2025/08/05","상장적격성 실질심사 대상(사유발생)"
"59","052770","아이톡시","KOSDAQ","2026/03/23","상장폐지 사유발생"
"60","309710","아이티켐","KOSDAQ","2026/04/03","상장폐지 사유발생"
"61","096610","알에프세미","KOSDAQ","2024/01/19","투자자 보호"
"62","123010","알엔티엑스","KOSDAQ","2026/07/06","주식의 병합, 분할 등 전자등록 변경, 말소"
"63","043100","알파AI","KOSDAQ","2026/04/07","상장폐지 사유발생"
"64","217480","에스디생명공학","KOSDAQ","2023/03/22","상장폐지 사유발생"
"65","065420","에스아이리소스","KOSDAQ","2026/06/15","조회공시 신고시한 위반"
"66","246250","에스엘에스바이오","KOSDAQ","2025/06/10","상장폐지 사유발생"
"67","019490","엑시큐어하이트론","KOSPI","2025/11/24","기타공익과투자자보호및시장관리상"
"68","354200","엔젠바이오","KOSDAQ","2026/06/23","주식의 병합, 분할 등 전자등록 변경, 말소"
"69","183490","엔지켐생명과학","KOSDAQ","2026/03/23","상장폐지 사유발생"
"70","182400","엔케이젠바이오텍코리아","KOSDAQ","2024/03/25","상장폐지 사유발생"
"71","250930","예선테크","KOSDAQ","2026/06/30","주식의 병합, 분할 등 전자등록 변경, 말소"
"72","212310","오건에코텍","KONEX","2025/04/08","코넥스 주권 상장폐지 사유발생"
"73","244460","올리패스","KOSDAQ","2025/04/08","투자자 보호"
"74","380540","옵티코어","KOSDAQ","2026/03/23","상장폐지 사유발생"
"75","299900","위지윅스튜디오","KOSDAQ","2026/07/10","주식의 병합, 분할 등 전자등록 변경, 말소"
"76","008600","윌비스","KOSPI","2026/03/23","감사의견거절(발행ELW, 발행ETN 포함)"
"77","468760","유진스팩10호","KOSDAQ","2026/06/30","SPAC 합병(예비심사청구대상)"
"78","263050","유틸렉스","KOSDAQ","2026/02/09","투자자 보호"
"79","279060","이노벡스","KONEX","2026/01/23","코넥스 주권 상장폐지 사유발생"
"80","009730","이렘","KOSDAQ","2026/06/19","주식의 병합, 분할 등 전자등록 변경, 말소"
"81","015020","이스타코","KOSPI","2026/03/16","감사의견거절(발행ELW, 발행ETN 포함)"
"82","074610","이엔플러스","KOSPI","2025/04/07","기타공익과투자자보호및시장관리상"
"83","294090","이오플로우","KOSDAQ","2025/03/21","상장적격성 실질심사 대상(사유발생)"
"84","001840","이화공영","KOSDAQ","2025/04/02","상장폐지 사유발생"
"85","277410","인산가","KOSDAQ","2026/06/22","주식의 병합, 분할 등 전자등록 변경, 말소"
"86","064090","인크레더블버즈","KOSDAQ","2026/02/09","투자자 보호"
"87","020760","일진디스플","KOSPI","2025/09/12","기타공익과투자자보호및시장관리상"
"88","234920","자이글","KOSDAQ","2025/10/29","상장적격성 실질심사 대상(사유발생)"
"89","023440","제이스코홀딩스","KOSDAQ","2026/03/23","상장폐지 사유발생"
"90","348950","제이알글로벌리츠","KOSPI","2026/04/28","회생절차개시신청(발행ELW, 발행ETN 포함)"
"91","412540","제일엠앤에스","KOSDAQ","2025/04/04","상장폐지 사유발생"
"92","446840","지슨","KOSDAQ","2026/06/26","주식의 병합, 분할 등 전자등록 변경, 말소"
"93","011000","진원생명과학","KOSPI","2026/06/25","주식의 병합, 분할 등 전자등록 변경, 말소"
"94","009310","참엔지니어링","KOSPI","2026/03/11","기타공익과투자자보호"
"95","013720","청보","KOSDAQ","2026/07/10","주식의 병합, 분할 등 전자등록 변경, 말소"
"96","284620","카이노스메드","KOSDAQ","2025/08/14","투자자 보호"
"97","006380","카프로","KOSPI","2024/01/26","기타공익과투자자보호및시장관리상"
"98","313760","캐리","KOSDAQ","2026/04/01","상장폐지 사유발생"
"99","210120","캔버스엔","KOSDAQ","2026/06/10","주식의 병합, 분할 등 전자등록 변경, 말소"
"100","079190","케스피온","KOSDAQ","2026/06/30","주식의 병합, 분할 등 전자등록 변경, 말소"
"101","106080","케이이엠텍","KOSDAQ","2026/03/12","상장폐지 사유발생"
"102","046070","코다코","KOSDAQ","2024/03/21","투자자 보호"
"103","036690","코맥스","KOSDAQ","2024/03/21","상장적격성 실질심사 대상(사유발생)"
"104","082660","코스나인","KOSDAQ","2024/08/07","투자자 보호"
"105","348080","큐라티스","KOSDAQ","2026/07/01","주식의 병합, 분할 등 전자등록 변경, 말소"
"106","377460","큐에이드","KOSDAQ","2023/11/28","상장적격성 실질심사 대상(사유발생)"
"107","346010","타이드","KONEX","2026/04/06","코넥스 주권 상장폐지 사유발생"
"108","073640","테라사이언스","KOSDAQ","2024/03/20","투자자 보호"
"109","258050","테크트랜스","KONEX","2026/03/23","코넥스 주권 상장폐지 사유발생"
"110","051360","토비스","KOSDAQ","2026/06/29","주식의 병합, 분할 등 전자등록 변경, 말소"
"111","079970","투비소프트","KOSDAQ","2025/03/21","투자자 보호"
"112","043220","티에스넥스젠","KOSDAQ","2025/03/31","투자자 보호"
"113","004870","티웨이홀딩스","KOSPI","2026/07/02","주식의 병합, 분할 등 전자등록 변경, 말소"
"114","288330","파라택시스코리아","KOSDAQ","2026/04/08","상장폐지 사유발생"
"115","266350","팡스카이","KONEX","2025/04/07","기타 투자자보호"
"116","327610","펨토바이오메드","KONEX","2026/03/30","지정자문인 계약해지"
"117","006490","프리티","KOSPI","2026/06/25","주식의 병합, 분할 등 전자등록 변경, 말소"
"118","041590","플래스크","KOSDAQ","2024/03/29","투자자 보호"
"119","222670","플럼라인생명과학","KONEX","2026/02/19","코넥스 주권 상장폐지 사유발생"
"120","019570","플루토스","KOSDAQ","2026/07/09","주식의 병합, 분할 등 전자등록 변경, 말소"
"121","241820","피씨엘","KOSDAQ","2025/03/24","투자자 보호"
"122","080720","한국유니온제약","KOSDAQ","2024/10/11","투자자 보호"
"123","005110","한창","KOSPI","2024/03/28","기타 시장관리상(신주인수권증권 및 증서 제외)(발행ELW, 발행ETN 포함)"
"124","143210","핸즈코퍼레이션","KOSPI","2026/03/23","기타공익과투자자보호및시장관리상"
"125","016790","현대사료","KOSDAQ","2024/02/29","투자자 보호"
"126","057050","현대홈쇼핑","KOSPI","2026/06/26","주식의 병합, 분할 등 전자등록 변경, 말소"
