번호,종목코드,종목명,시장구분,주식종류,지정일,벌점,제재금,공시책임자등 교체요구,불성실유형,지정사유,누적벌점
"1","396690","미래에셋글로벌리츠","KOSPI","보통주","2026/07/06","3","0",,"공시불이행","매출액 또는 손익구조 30%(대규모법인 15%) 이상 변경 사실('26.05.26)의 지연공시('26.06.16)","3"
"2","074610","이엔플러스","KOSPI","보통주","2026/07/06","4","0",,"공시번복","유상증자결정('23.03.27)의 철회(‘26.06.18)","6.5"
"3","293480","하나제약","KOSPI","보통주","2026/07/06","0","12000000",,"공시불이행","타법인 주식 및 출자증권 처분결정('26.05.14)의 지연 공시('26.6.11)","0"
"4","005610","삼립","KOSPI","보통주","2026/07/01","0","16000000",,"공시불이행","- 타인에 대한 채무보증 결정('25.02.11)의 미공시
- 타인에 대한 채무보증 결정('25.08.25)의 미공시
- 타인에 대한 채무보증 결정('26.02.25)의 지연공시('26.06.18)","0"
"5","034230","파라다이스","KOSPI","보통주","2026/07/01","0","8000000",,"공시불이행","금전대여 결정('25.03.12)의 미공시","0"
"6","241590","화승엔터프라이즈","KOSPI","보통주","2026/07/01","0","8000000",,"공시불이행","매출액 또는 손익구조 30%(대규모법인 15%)이상 변경 사실(자회사의 주요경영사항)(`26.02.04)의 미공시","0"
"7","068240","다원시스","KOSDAQ","보통주","2026/06/30","24.5","50000000",,"공시불이행,공시번복,공시변경","ㅇ 공시번복 6건 
      - 유상증자결정 철회 
      - 단일판매ㆍ공급계약해지 
      - 단일판매ㆍ공급계약해지 
      - 단일판매ㆍ공급계약해지 
      - 단일판매ㆍ공급계약해지 
      - 단일판매ㆍ공급계약해지 
      
ㅇ 공시불이행 1건 
      - 사채원리금 미지급발생 지연공시 

ㅇ 공시변경 1건 
      - 단일판매·공급계약 계약 금액 50% 이상 변경","47.5"
"8","373200","엑스플러스","KOSDAQ","보통주","2026/06/30","3",,,"공시불이행","금전대여결정 지연공시","3"
"9","069920","엑시온그룹","KOSDAQ","보통주","2026/06/30","7",,,"공시번복","유상증자결정(제3자배정) 철회","12"
"10","214370","케어젠","KOSDAQ","보통주","2026/06/30","3",,,"공시번복,공시변경","ㅇ 공시번복 1건 
  - 단일판매·공급계약 해지 
    
ㅇ 공시변경 1건   
  - 단일판매·공급계약금액 100분의 50 이상 변경","3"
