번호,종목코드,종목명,최초지정일,지정사유,상장일,업종,액면가,상장주식수
"1","221800","지구홀딩스","2026/05/26","제3자유상증자대금 부당사용 등","2023/11/02","일반서비스","500","16318851"
"2","393970","대진첨단소재","2026/04/08","내부회계관리제도 비적정 등","2025/03/06","화학","500","17850820"
"3","009620","삼보산업","2026/04/08","계속기업 불확실성에 의한 한정 등","1993/12/07","금속","100","17473048"
"4","276040","스코넥","2026/04/08","내부회계관리제도 비적정 등","2022/02/04","IT 서비스","500","21630335"
"5","043100","알파AI","2026/04/08","내부회계관리제도 비적정 등","2000/08/08","의료·정밀기기","500","20110080"
"6","064090","인크레더블버즈","2026/04/08","내부회계관리제도 비적정 등","2002/12/17","유통","500","49742745"
"7","106080","케이이엠텍","2026/04/08","내부회계관리제도 비적정 등","2010/02/09","전기·전자","500","5761817"
"8","309710","아이티켐","2026/04/07","내부회계관리제도 비적정 등","2025/08/07","제약","500","12783001"
"9","009730","이렘","2026/04/07","제3자유상증자대금 부당사용 등","1990/07/27","금속","500","71779526"
"10","007330","푸른저축은행","2026/04/07","내부회계관리제도 비적정 등","1993/12/07","금융","1000","15082800"
"11","340930","성원에너텍","2026/04/01","내부회계관리제도 비적정 등","2021/02/25","기계·장비","500","68875785"
"12","069920","엑시온그룹","2026/03/30","내부회계관리제도 비적정 등,5사업연도 연속 영업손실 발생","2007/12/05","유통","500","9296521"
"13","263050","유틸렉스","2026/03/30","내부회계관리제도 비적정 등","2018/12/24","제약","500","36834856"
"14","246720","아스타","2026/03/25","내부회계관리제도 비적정 등","2017/03/20","제약","500","16381300"
"15","025440","DH오토웨어","2026/03/24","내부회계관리제도 비적정 등","1995/05/22","전기·전자","2500","9756244"
"16","044180","KD","2026/03/24","내부회계관리제도 비적정 등","2000/11/16","건설","500","26717799"
"17","286750","나노실리칸첨단소재","2026/03/24","내부회계관리제도 비적정 등","2019/08/19","화학","500","32028857"
"18","340360","다보링크","2026/03/24","내부회계관리제도 비적정 등","2019/12/19","전기·전자","100","52062772"
"19","068240","다원시스","2026/03/24","내부회계관리제도 비적정 등","2010/09/14","전기·전자","500","38163437"
"20","073570","리튬포어스","2026/03/24","5사업연도 연속 영업손실 발생","2004/01/06","기타제조","500","12037328"
"21","066410","버킷스튜디오","2026/03/24","5사업연도 연속 영업손실 발생","2003/12/19","통신","500","138453818"
"22","177350","베셀","2026/03/24","5사업연도 연속 영업손실 발생","2015/06/19","화학","500","19653767"
"23","066790","씨씨에스","2026/03/24","내부회계관리제도 비적정 등","2003/05/30","오락·문화","500","65152039"
"24","270520","앱튼","2026/03/24","5사업연도 연속 영업손실 발생","2017/08/22","일반서비스","1000","19658914"
"25","183490","엔지켐생명과학","2026/03/24","내부회계관리제도 비적정 등","2018/02/21","제약","500","84640235"
"26","380540","옵티코어","2026/03/24","내부회계관리제도 비적정 등","2022/12/29","전기·전자","200","24456583"
"27","008290","원풍물산","2026/03/24","내부회계관리제도 비적정 등","1997/07/18","섬유·의류","1000","20346839"
"28","179900","유티아이","2026/03/24","5사업연도 연속 영업손실 발생","2017/09/27","전기·전자","500","19790412"
"29","234920","자이글","2026/03/24","5사업연도 연속 영업손실 발생","2016/09/06","전기·전자","500","13530910"
"30","023440","제이스코홀딩스","2026/03/24","내부회계관리제도 비적정 등","1994/10/07","금속","500","90142761"
"31","121850","코이즈","2026/03/24","5사업연도 연속 영업손실 발생","2012/09/27","화학","500","5056999"
"32","035610","솔본","2026/03/23","내부회계관리제도 비적정 등","1999/08/13","일반서비스","500","27345997"
"33","160190","하이젠알앤엠","2026/03/23","내부회계관리제도 비적정 등","2024/06/27","전기·전자","500","30888000"
"34","018700","졸스","2026/03/20","5사업연도 연속 영업손실 발생","1994/03/18","유통","1000","11706586"
"35","012340","뉴인텍","2026/03/19","5사업연도 연속 영업손실 발생","1997/02/12","운송장비·부품","500","18700312"
"36","092190","서울바이오시스","2026/03/19","5사업연도 연속 영업손실 발생","2020/03/06","전기·전자","500","45868383"
"37","297090","씨에스베어링","2026/03/19","5사업연도 연속 영업손실 발생","2019/11/21","기계·장비","500","27270000"
"38","276730","한울앤제주","2026/03/19","5사업연도 연속 영업손실 발생","2021/05/26","음식료·담배","500","2284709"
"39","073190","듀오백","2026/03/18","5사업연도 연속 영업손실 발생","2004/02/06","기타제조","500","11968040"
"40","041520","이엘씨","2026/03/18","5사업연도 연속 영업손실 발생","2003/07/04","의료·정밀기기","500","12188730"
"41","168330","내츄럴엔도텍","2026/03/17","5사업연도 연속 영업손실 발생","2013/10/31","일반서비스","500","31754900"
"42","140410","메지온","2026/03/17","5사업연도 연속 영업손실 발생","2012/01/20","일반서비스","500","30392167"
"43","217480","에스디생명공학","2026/03/17","5사업연도 연속 영업손실 발생","2017/03/02","화학","200","109733141"
"44","312610","에이에프더블류","2026/03/12","5사업연도 연속 영업손실 발생","2019/07/01","금속","500","20256888"
"45","188260","세니젠","2026/03/10","내부회계관리제도 비적정 등","2023/11/03","기타제조","500","13263473"
"46","214610","롤링스톤","2025/08/18","반기 검토(감사)의견 비적정,내부회계관리제도 비적정 등","2020/10/22","의료·정밀기기","500","8383322"
"47","195990","루트K","2025/08/18","반기 자본잠식률 50% 이상,5사업연도 연속 영업손실 발생","2015/04/13","기계·장비","500","32575748"
"48","049180","셀루메드","2025/08/18","반기 검토(감사)의견 비적정,내부회계관리제도 비적정 등,반기 자본잠식률 50% 이상","2002/05/23","제약","500","83226192"
"49","284620","카이노스메드","2025/08/18","반기 자본잠식률 50% 이상","2018/06/08","일반서비스","500","33086953"
"50","241820","피씨엘","2025/08/18","반기 검토(감사)의견 비적정,반기 자본잠식률 50% 이상","2017/02/23","제약","500","2782098"
"51","038880","아이에이","2025/08/14","제3자유상증자대금 부당사용 등","2000/04/27","전기·전자","1000","7514423"
"52","065570","삼영이엔씨","2025/04/08","내부회계관리제도 비적정 등,반기 검토(감사)의견 비적정","2003/01/21","전기·전자","500","16093838"
"53","352770","셀레스트라","2025/04/07","내부회계관리제도 비적정 등,반기 자기자본 10억원 미만,반기 자본잠식률 50% 이상,반기 검토(감사)의견 비적정","2020/12/04","일반서비스","100","2592407"
"54","412540","제일엠앤에스","2025/04/07","내부회계관리제도 비적정 등,반기 자기자본 10억원 미만,반기 검토(감사)의견 비적정,반기 자본잠식률 50% 이상","2024/04/30","기계·장비","500","20600665"
"55","043220","티에스넥스젠","2025/04/01","반기 검토(감사)의견 비적정","2001/07/03","기계·장비","500","16486023"
"56","331380","포커스에이아이","2025/03/31","내부회계관리제도 비적정 등","2019/10/02","전기·전자","100","36560866"
"57","052770","아이톡시","2025/03/26","내부회계관리제도 비적정 등,반기 자본잠식률 50% 이상","2002/08/22","IT 서비스","500","14568774"
"58","224060","더코디","2025/03/24","내부회계관리제도 비적정 등","2015/12/29","전기·전자","500","5160722"
